代码,名称,最新价,涨跌幅,换手率,成交额,涨速,市盈率,总市值,流通市值,今年,60日,成交量,最高,最低,今开,昨收
688787,海天瑞声,192.25999450683594,2.81%,14.020000457763672,7.51亿,0.019999999552965164,278.6499938964844,82.29亿,55.07亿,222.10000610351562,193.1199951171875,4.02万,195,177.77999877929688,188.72000122070312,187
300229,拓尔思,27.5,5.53%,14.039999961853027,29.95亿,0.07000000029802322,181.08999633789062,218.71亿,218.54亿,134.63999938964844,109.76000213623047,111.59万,27.549999237060547,25.559999465942383,25.850000381469727,26.059999465942383
688327,云从科技-UW,43.869998931884766,6.87%,35.7599983215332,12.46亿,0.1599999964237213,-37.400001525878906,324.93亿,35.83亿,186.5399932861328,172.82000732421875,29.20万,45,39.880001068115234,40.400001525878906,41.04999923706055
002230,科大讯飞,63.95000076293945,9.30%,5.829999923706055,76.15亿,-0.029999999329447746,265.1400146484375,1485.61亿,1360.98亿,94.79000091552734,80.75,124.16万,64.19999694824219,57.86000061035156,58.25,58.5099983215332
300418,昆仑万维,51.380001068115234,4.43%,12.520000457763672,69.01亿,0.23000000417232513,53.29999923706055,614.31亿,558.49亿,256.55999755859375,248.80999755859375,136.14万,52.33000183105469,48.189998626708984,48.189998626708984,49.20000076293945
601360,三六零,16.860000610351562,6.10%,7.510000228881836,87.99亿,0.05999999865889549,-45.9900016784668,1204.71亿,1204.71亿,157.8000030517578,142.58999633789062,536.53万,16.989999771118164,15.619999885559082,15.649999618530273,15.890000343322754
300459,汤姆猫,8.220000267028809,6.06%,17.479999542236328,42.47亿,0,54.130001068115234,289.00亿,246.66亿,160.9499969482422,157.67999267578125,524.58万,8.300000190734863,7.630000114440918,7.699999809265137,7.75
300624,万兴科技,108.05000305175781,20.00%,16.079999923706055,18.43亿,0,171.64999389648438,143.20亿,124.45亿,268.0199890136719,243.22999572753906,18.52万,108.05000305175781,88.87999725341797,89.19999694824219,90.04000091552734
300058,蓝色光标,10.4399995803833,20.00%,26.389999389648438,61.14亿,0,43.709999084472656,260.06亿,242.11亿,106.7300033569336,106.7300033569336,611.96万,10.4399995803833,9.180000305175781,9.289999961853027,8.699999809265137
300364,中文在线,25.799999237060547,6.61%,27.75,45.47亿,0.03999999910593033,-114.72000122070312,188.32亿,167.71亿,160.0800018310547,176.82000732421875,180.38万,26.260000228881836,24.1200008392334,25.40999984741211,24.200000762939453
000977,浪潮信息,42.97999954223633,4.07%,11.6899995803833,73.09亿,-0.019999999552965164,30.239999771118164,629.10亿,628.19亿,99.72000122070312,83.68000030517578,170.92万,43.5,41.79999923706055,42.099998474121094,41.29999923706055
688981,中芯国际,66.4800033569336,6.86%,6.730000019073486,85.73亿,0,43.400001525878906,5265.79亿,1301.28亿,61.59000015258789,58.290000915527344,131.72万,66.5,61.84000015258789,61.84000015258789,62.209999084472656
603019,中科曙光,54.709999084472656,9.99%,12.779999732971191,97.43亿,0.10999999940395355,51.869998931884766,800.96亿,793.69亿,147.11000061035156,133.89999389648438,185.36万,54.709999084472656,50.220001220703125,51.20000076293945,49.7400016784668
688256,寒武纪-U,266.1600036621094,20.00%,8.239999771118164,49.45亿,0,-94.61000061035156,1103.55亿,644.60亿,387.8299865722656,354.9700012207031,19.96万,266.1600036621094,230.05999755859375,230.05999755859375,221.8000030517578
300502,新易盛,82.56999969482422,7.22%,14.819999694824219,52.13亿,0.009999999776482582,41.189998626708984,418.70亿,362.24亿,247.66000366210938,226.36000061035156,65.02万,83.30000305175781,76.61000061035156,78.29000091552734,77.01000213623047
688041,海光信息,97.30000305175781,7.45%,18.049999237060547,36.38亿,0.12999999523162842,281.45001220703125,2261.58亿,206.07亿,142.52000427246094,131.72000122070312,38.23万,98.5,91.4800033569336,93.80000305175781,90.55000305175781
601138,工业富联,19,10.02%,1.6399999856948853,59.39亿,0,18.799999237060547,3773.95亿,3761.77亿,106.97000122070312,99.37000274658203,325.56万,19,17.209999084472656,17.270000457763672,17.270000457763672
