代码,名称,最新价,涨跌幅,换手率,成交额,涨速,市盈率,总市值,流通市值,今年,60日,成交量,最高,最低,今开,昨收
688276,百克生物,54.88,3.92,0.08,9840367.0,3.35,124.81,22656697506.0,12897582150.0,-20.59,-20.81,1816.0,54.88,53.1,53.1,52.81
000938,紫光股份,33.58,4.22,0.43,401473814.39,3.32,44.51,96041482169.0,96041482169.0,72.12,64.85,121979.0,33.6,32.44,32.5,32.22
600996,贵广网络,13.34,6.29,0.4,63313042.0,3.25,-43.31,16108687145.0,16108687145.0,-10.41,-16.88,48324.0,13.35,12.89,12.92,12.55
300220,金运激光,12.71,4.18,0.48,9030690.0,3.25,-54.9,1921752000.0,1919455913.0,21.51,14.71,7275.0,12.71,12.21,12.31,12.2
002430,杭氧股份,36.43,3.2,0.09,30339061.13,3.23,29.63,35866930015.0,35125236089.0,-7.44,-7.28,8447.0,36.47,35.29,35.29,35.3
000048,京基智农,24.9,1.97,0.11,13562259.0,3.06,16.85,13028657325.0,13028657325.0,39.5,36.14,5535.0,24.9,24.04,24.16,24.42
601519,大智慧,8.0,2.56,0.47,74059284.0,3.23,-139.93,16286961600.0,16030924800.0,39.13,37.69,94603.0,8.0,7.73,7.75,7.8
603108,润达医疗,15.32,3.51,0.42,36707003.0,3.03,21.76,8878625202.0,8878625202.0,51.53,50.05,24303.0,15.33,14.8,14.87,14.8
000150,*ST宜康,0.93,3.33,0.53,3857851.36,3.33,-2.08,816258728.0,749570925.0,-30.08,-33.57,42405.0,0.93,0.89,0.9,0.9
300251,光线传媒,9.61,2.67,0.17,43921844.19,3.22,208.26,28191977032.0,26785216432.0,10.97,4.23,46349.0,9.63,9.31,9.31,9.36
688489,三未信安,121.86,3.62,0.77,15163104.0,3.11,87.47,9377403378.0,1991557614.0,20.26,7.21,1259.0,121.89,118.19,118.19,117.6
000503,国新健康,11.69,4.28,0.53,54546540.0,3.27,-68.21,10595970355.0,10506737405.0,15.06,12.51,47585.0,11.7,11.2,11.32,11.21
002022,科华生物,14.23,9.46,1.05,74731971.97,3.12,7.54,7318444261.0,7316320448.0,15.04,14.94,53918.0,14.23,13.62,13.8,13.0
000752,*ST西发,4.22,4.46,0.13,1436734.0,4.98,-19.5,1113060832.0,1113060832.0,3.94,4.71,3480.0,4.24,4.02,4.02,4.04
300297,*ST蓝盾,0.97,2.11,0.38,4537633.0,3.19,-1.06,1212003188.0,1210009838.0,-22.4,-25.95,47727.0,0.97,0.94,0.94,0.95
300526,*ST中潜,8.1,3.32,0.42,6762834.0,3.32,36.24,1654416641.0,1654257419.0,-36.62,-36.87,8543.0,8.1,7.8,7.84,7.84
603339,四方科技,15.55,4.43,0.33,15652130.0,3.25,15.15,4811810271.0,4811810271.0,27.35,23.71,10268.0,15.55,15.06,15.06,14.89
002596,海南瑞泽,4.0,4.44,1.48,61224284.99,3.36,-9.3,4590322072.0,4230625072.0,17.65,17.99,156164.0,4.0,3.85,3.87,3.83
688313,仕佳光子,16.3,4.09,1.23,63091417.0,4.76,113.02,7478477946.0,5293123271.0,80.11,71.58,39988.0,16.3,15.45,15.56,15.66
601199,江南水务,8.0,4.03,0.09,6465030.0,4.17,28.34,7481682336.0,7481682336.0,19.4,21.21,8285.0,8.0,7.66,7.68,7.69
835305,云创数据,16.8,3.96,0.48,5071683.3,3.64,47.12,2223918900.0,1075353300.0,63.9,58.94,3102.0,16.8,16.04,16.21,16.16
300188,美亚柏科,24.43,3.96,1.53,267130232.56,3.43,142.0,20997030683.0,17693318909.0,89.97,80.3,110855.0,24.44,23.62,23.62,23.5
836892,广咨国际,9.45,4.3,0.07,209630.3,3.39,11.94,938123717.0,322403080.0,9.38,9.76,227.0,9.45,9.14,9.14,9.06
300984,金沃股份,24.3,6.77,2.65,18760433.98,3.18,34.18,1866240000.0,722239546.0,19.29,15.0,7875.0,24.3,23.44,23.55,22.76
300576,容大感光,43.33,-1.16,3.1,166972556.45,3.17,207.78,9248994534.0,5484939792.0,109.83,104.19,39254.0,43.43,42.0,42.0,43.84
300386,飞天诚信,13.73,2.16,1.09,35559647.5,3.16,-47.44,5739744120.0,3325486321.0,44.98,38.97,26385.0,13.74,13.26,13.31,13.44
002491,通鼎互联,6.62,2.48,2.17,165485200.68,3.28,81.62,8142563590.0,7788030291.0,45.81,40.55,254791.0,6.64,6.33,6.43,6.46
002483,润邦股份,5.74,5.32,0.35,17392328.78,3.24,101.76,5408737339.0,5081339586.0,14.12,8.3,31048.0,5.74,5.52,5.52,5.45
300157,恒泰艾普,3.88,2.65,1.28,33744812.0,3.47,-25.58,2762999437.0,2707705945.0,21.25,18.29,89115.0,3.88,3.72,3.78,3.78
600339,中油工程,3.9,2.9,0.29,62641840.0,3.17,18.55,21774275137.0,21774275137.0,30.87,28.71,163315.0,3.9,3.77,3.78,3.79
301223,中荣股份,20.54,3.58,0.6,5532285.08,3.06,19.23,3966840082.0,940963445.0,9.26,6.98,2756.0,20.54,19.83,19.83,19.83
000560,我爱我家,3.42,1.79,1.0,75365354.8,3.32,-27.59,8055812910.0,7694352433.0,36.8,35.71,224352.0,3.44,3.29,3.35,3.36
002207,准油股份,7.3,3.84,0.61,11257883.0,3.25,-197.06,1913004259.0,1902276523.0,2.67,0.27,15809.0,7.3,7.03,7.04,7.03
688138,清溢光电,24.77,3.42,0.17,10777256.0,3.42,68.84,6608636000.0,6608636000.0,36.1,30.78,4469.0,24.77,23.73,23.86,23.95
002853,皮阿诺,21.06,4.88,0.47,10983100.0,3.24,26.45,3928590273.0,2410082918.0,8.11,6.9,5326.0,21.18,20.0,20.33,20.08
688102,斯瑞新材,16.49,4.63,0.4,14457679.0,3.13,84.69,6596164900.0,3763027498.0,0.0,-3.96,9020.0,16.49,15.7,15.75,15.76
002555,三七互娱,31.89,3.3,0.38,191712397.97,3.07,23.51,70727691921.0,52156904145.0,76.19,72.1,61539.0,31.89,30.88,31.0,30.87
688496,清越科技,13.83,2.83,2.44,25753535.0,3.06,110.15,6223500000.0,1085060421.0,52.31,43.17,19111.0,13.84,13.14,13.25,13.45
000886,海南高速,6.17,2.32,1.5,88386501.92,3.01,35.41,6101070611.0,6018848562.0,27.22,26.69,146542.0,6.18,5.89,5.97,6.03
300166,东方国信,16.85,9.27,4.95,741357078.55,4.59,134.8,19417627213.0,15492063403.0,110.89,94.8,455517.0,16.92,16.0,16.0,15.42
600228,返利科技,14.46,5.16,1.13,44407910.0,3.29,166.0,10552874048.0,4031182355.0,101.96,99.17,31585.0,14.46,13.81,13.81,13.75
300520,科大国创,30.05,6.86,4.19,284227357.34,3.09,101.41,7401983913.0,6963841000.0,89.47,81.46,97089.0,30.13,28.67,28.68,28.12
002649,博彦科技,16.81,5.66,1.65,141083492.01,3.89,26.8,9945886095.0,8808691377.0,63.36,56.96,86587.0,16.85,15.9,16.0,15.91
830799,艾融软件,8.07,2.93,0.16,1482569.41,3.07,40.48,1700256195.0,947661222.0,32.3,29.74,1877.0,8.07,7.75,7.93,7.84
600455,博通股份,25.89,4.99,0.73,11421409.0,3.35,60.23,1617037620.0,1617037620.0,17.04,16.73,4535.0,25.89,24.71,24.78,24.66
