,symbol,name,abbreviation,ts_code,area,industry,list_date
4360,BK0464,石油行业,syxy,,,,
4361,300732,设研院,syy,300732.SZ,河南,建筑工程,20171212
4362,399647,深医药50,syy50,,,,
4363,399676,深A医药卫生等权指数,syyew,,,,
4364,688085,三友医疗,syyl,688085.SH,上海,医疗保健,20200409
4365,301079,邵阳液压,syyy,301079.SZ,湖南,机械基件,20211019
4366,600031,三一重工,syzg,600031.SH,北京,工程机械,20030703
4367,688349,三一重能,syzn,688349.SH,北京,电气设备,20220622
4368,sh.000005,商业指数,syzs,,,,
4369,603863,松炀资源,syzy,603863.SH,广东,造纸,20190621
4370,399330,深证100,sz100,,,,
4371,sh.000132,上证100,sz100,,,,
4372,399011,深证1000,sz1000,,,,
4373,BK0743,深证100R,sz100r,,,,
4374,399004,深证100R,sz100r,,,,
4375,sh.000133,上证150,sz150,,,,
4376,sh.000010,上证180,sz180,,,,
4377,BK0612,上证180_,sz180_,,,,
4378,399009,深证200,sz200,,,,
4379,399679,深证200指数,sz200,,,,
4380,399007,深证300,sz300,,,,
4381,399344,深证300R,sz300r,,,,
4382,BK0705,上证380,sz380,,,,
4383,sh.000009,上证380,sz380,,,,
4384,sh.000016,上证50,sz50,,,,
4385,BK0611,上证50_,sz50_,,,,
4386,399010,深证700,sz700,,,,
4387,399107,深证A指,szaz,,,,
4388,sh.000155,市值百强,szbq,,,,
4389,399108,深证B指,szbz,,,,
4390,sh.000033,上证材料,szcl,,,,
4391,399614,深证材料,szcl,,,,
4392,399696,深证创投,szct,,,,
4393,399332,深证创新(旧),szcx,,,,
4394,399016,深证创新指数,szcx,,,,
4395,399001,深证成指,szcz,,,,
4396,399346,深证成长,szcz,,,,
4397,399661,深证低波,szdb,,,,
4398,399637,深证地产,szdc,,,,
4399,sh.000055,上证地企,szdq,,,,
4400,sh.000040,上证电信,szdx,,,,
4401,399621,深证电信,szdx,,,,
4402,399639,深证大宗,szdz,,,,
4403,399306,深证ETF,szetf,,,,
4404,399702,深证F120,szf120,,,,
4405,399703,深证F200,szf200,,,,
4406,sh.000098,上证F200,szf200,,,,
4407,sh.000099,上证F300,szf300,,,,
4408,sh.000100,上证F500,szf500,,,,
4409,399701,深证F60,szf60,,,,
4410,399662,深证高贝,szgb,,,,
4411,002079,苏州固锝,szgd,002079.SZ,江苏,半导体,20061116
